Landcode;Levensnummer;Werknummer;Geboortedatum;Haarkleur;Geslacht;Landcode_moeder;Levensnummer_moeder;Aanvoer;Afvoer;UBN
BE;129740006;0006;11-02-2024;Zwartbont;M;BE;517439096;08-05-2024;;6259491
LU;318500009;0009;26-03-2024;Zwartbont;M;;;24-06-2024;;6259491
BE;329940011;0011;15-05-2024;Zwartbont;M;BE;360940398;16-08-2024;;6259491
LU;518500011;0011;01-04-2024;Zwartbont;M;;;24-06-2024;;6259491
LU;318500012;0012;01-04-2024;Zwartbont;M;;;24-06-2024;;6259491
BE;830020015;0015;08-05-2024;Zwartbont;M;BE;913719703;09-08-2024;;6259491
BE;030020019;0019;28-03-2024;Roodbont;M;BE;715409856;24-06-2024;;6259491
BE;929480022;0022;14-02-2024;Zwart-wit;M;BE;217680389;08-05-2024;;6259491
BE;529760025;0025;16-05-2024;Rood-wit;M;BE;417335071;16-08-2024;;6259491
BE;929740032;0032;04-04-2024;Zwartbont;M;BE;714818943;24-06-2024;;6259491
LU;218550045;0045;13-02-2024;Zwartbont;M;;;08-05-2024;;6259491
LU;018550046;0046;13-02-2024;Zwartbont;M;;;08-05-2024;;6259491
NL;698100479;0047;02-04-2024;Zwartbont;M;NL;573713284;24-06-2024;;6259491
LU;918550047;0047;14-02-2024;Zwartbont;M;;;08-05-2024;;6259491
BE;829500049;0049;14-02-2024;Zwart-wit;M;BE;614753570;08-05-2024;;6259491
BE;833890049;0049;02-04-2024;Zwartbont;M;BE;215979173;24-06-2024;;6259491
LU;218500052;0052;14-05-2024;Zwartbont;M;;;09-08-2024;;6259491
BE;323710073;0073;13-03-2024;Zwartbont;M;BE;814493220;24-06-2024;;6259491
LU;818550123;0123;11-05-2024;Zwartbont;M;;;09-08-2024;;6259491
BE;121040156;0156;02-05-2024;Roodbont;M;BE;113193739;09-08-2024;;6259491
BE;121040157;0157;03-05-2024;Zwartbont;M;BE;215077834;09-08-2024;;6259491
BE;621040159;0159;08-05-2024;Roodbont;M;BE;512747070;09-08-2024;;6259491
BE;221040164;0164;09-05-2024;Roodbont;M;BE;215077848;09-08-2024;;6259491
BE;521550164;0164;03-01-2024;Zwart-wit;M;BE;714902535;11-04-2024;;6259491
BE;121550167;0167;03-01-2024;Zwartbont;M;NL;723440981;11-04-2024;;6259491
NL;697402367;0236;01-04-2024;Zwartbont;M;NL;671499437;24-06-2024;;6259491
NL;678302497;0249;16-05-2024;Roodbont;M;NL;965099134;09-08-2024;;6259491
NL;678302505;0250;15-05-2024;Roodbont;M;NL;711799547;16-08-2024;;6259491
NL;678302512;0251;14-05-2024;Roodbont;M;NL;709294472;16-08-2024;;6259491
BE;320780287;0287;01-04-2024;Zwartbont;M;BE;021490107;24-06-2024;;6259491
LU;918340323;0323;07-05-2024;Roodbont;M;;;09-08-2024;;6259491
FR;5502990323;0323;23-12-2023;Zwartbont;M;FR;5502706089;11-04-2024;;6259491
BE;520970332;0332;02-04-2024;Zwartbont;M;BE;121200200;24-06-2024;;6259491
NL;542404054;0405;06-11-2018;Zwartbont;M;NL;631520463;25-03-2019;;6259491
LU;518380422;0422;29-04-2024;Zwartbont;M;;;09-08-2024;;6259491
BE;466700427;0427;12-02-2024;Zwart-wit;M;BE;363847814;08-05-2024;;6259491
BE;220280431;0431;11-05-2024;Zwartbont;M;BE;028361838;09-08-2024;;6259491
LU;618400448;0448;30-04-2024;Zwartbont;M;;;09-08-2024;;6259491
LU;418400449;0449;13-05-2024;Zwartbont;M;;;09-08-2024;;6259491
LU;418400452;0452;14-05-2024;Zwartbont;M;;;09-08-2024;;6259491
NL;674704877;0487;14-02-2024;Zwartbont;M;NL;746304004;08-05-2024;;6259491
LU;718380502;0502;12-02-2024;Zwartbont;M;;;08-05-2024;;6259491
LU;818380507;0507;13-02-2024;Zwartbont;M;;;08-05-2024;;6259491
