epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9464,6.26215,15.2952,4.20836,0,0,0,0,6.61407,10.2267,4.18575,0.00046,0.00046,0.00046
2,23.5128,4.30719,6.87033,3.25025,0,0,0,0,6.64277,9.9496,4.32591,0.00090898,0.00090898,0.00090898
3,33.6234,3.06382,3.36928,2.0453,0,0,0,0,6.31362,5.32621,3.60229,0.00132628,0.00132628,0.00132628
4,42.5937,2.61049,2.53999,1.73618,0.0005,0.06332,0.00531,0.00058,5.18516,5.2031,3.10357,0.0017119,0.0017119,0.0017119
5,51.9162,2.41335,2.34488,1.59808,0.41846,0.49582,0.39156,0.12666,2.43617,1.90241,1.68485,0.001736,0.001736,0.001736
6,61.2677,2.3265,2.18427,1.50075,0.5575,0.55078,0.52287,0.21897,2.06348,1.93747,1.45377,0.00167,0.00167,0.00167
7,70.1553,2.17564,1.95594,1.43131,0.60644,0.62007,0.60511,0.25768,1.92904,1.6872,1.37167,0.001604,0.001604,0.001604
8,78.7497,2.03213,1.7479,1.36724,0.66973,0.73893,0.75133,0.35413,1.82045,1.3902,1.30961,0.001538,0.001538,0.001538
9,87.14,1.96567,1.69285,1.30533,0.48736,0.71207,0.49042,0.20673,1.8222,1.57689,1.29869,0.001472,0.001472,0.001472
10,96.4427,1.94478,1.63141,1.29939,0.70473,0.76136,0.78758,0.38824,1.6901,1.24866,1.22635,0.001406,0.001406,0.001406
11,105.035,1.85401,1.47817,1.23651,0.78276,0.75627,0.82907,0.40074,1.69145,1.24674,1.19865,0.00134,0.00134,0.00134
12,113.851,1.94123,1.46476,1.26031,0.77691,0.72879,0.81522,0.3684,1.77157,1.26497,1.22528,0.001274,0.001274,0.001274
13,122.77,1.8316,1.33229,1.19766,0.77905,0.75825,0.83809,0.41075,1.69306,1.21664,1.19802,0.001208,0.001208,0.001208
14,131.607,1.74003,1.33079,1.18575,0.79925,0.79437,0.87279,0.46964,1.55662,1.0837,1.14303,0.001142,0.001142,0.001142
15,140.604,1.72899,1.28926,1.17304,0.81879,0.80287,0.88895,0.4805,1.52116,1.0397,1.1226,0.001076,0.001076,0.001076
16,149.474,1.67635,1.20786,1.14472,0.81601,0.8213,0.88826,0.49212,1.52969,1.04026,1.12373,0.00101,0.00101,0.00101
17,158.038,1.69457,1.17411,1.12809,0.75818,0.79788,0.80604,0.41677,1.62052,1.08052,1.1552,0.000944,0.000944,0.000944
18,166.84,1.70917,1.18005,1.13714,0.84554,0.7957,0.90815,0.50689,1.5062,0.97546,1.10657,0.000878,0.000878,0.000878
19,175.494,1.667,1.14275,1.13365,0.82733,0.82915,0.91085,0.50116,1.52941,0.99007,1.11518,0.000812,0.000812,0.000812
20,184.208,1.59605,1.08269,1.10657,0.86367,0.82437,0.91684,0.52888,1.45698,0.93019,1.08767,0.000746,0.000746,0.000746
21,192.723,1.63919,1.08694,1.12555,0.84152,0.82472,0.90927,0.50186,1.4867,0.98565,1.10512,0.00068,0.00068,0.00068
22,201.054,1.60418,1.08133,1.1147,0.85566,0.82155,0.91178,0.52579,1.46518,0.93773,1.09486,0.000614,0.000614,0.000614
23,209.461,1.5891,1.06487,1.09013,0.83514,0.84588,0.91503,0.53508,1.43484,0.91642,1.07984,0.000548,0.000548,0.000548
24,217.899,1.55577,1.06003,1.1032,0.84619,0.8411,0.91785,0.5379,1.41012,0.93108,1.0721,0.000482,0.000482,0.000482
25,226.246,1.55805,1.00817,1.09373,0.86921,0.84162,0.922,0.53819,1.43861,0.94535,1.07262,0.000416,0.000416,0.000416
26,234.925,1.5624,1.00967,1.0829,0.86118,0.83009,0.92121,0.54221,1.4122,0.91436,1.06643,0.00035,0.00035,0.00035
27,243.501,1.52196,1.03004,1.08513,0.85072,0.84588,0.92498,0.53944,1.40764,0.90448,1.05862,0.000284,0.000284,0.000284
28,251.984,1.54093,0.96651,1.07385,0.87107,0.83137,0.92606,0.5523,1.405,0.92988,1.05746,0.000218,0.000218,0.000218
29,260.981,1.5099,0.95383,1.06803,0.86678,0.84468,0.92779,0.55432,1.38848,0.88829,1.05645,0.000152,0.000152,0.000152
30,269.523,1.52099,0.97955,1.08346,0.85983,0.86499,0.92826,0.55601,1.38982,0.87338,1.05608,8.6e-05,8.6e-05,8.6e-05
